combined_text,predicted_topics,scores
"And then around the back, mixed bag, I would say. I'm not the biggest fake leather on the back of a phone person.","['Phone performance', 'Build quality', 'Unknown', 'Screen or Display', 'Design', 'Price', 'Battery or Charging', 'Camera']","[0.21653681993484497, 0.19028431177139282, 0.1855548769235611, 0.13868401944637299, 0.1263604611158371, 0.06067633256316185, 0.044050123542547226, 0.03785301744937897]"
"It gives me like, Samsung 2016 vibes, but at least it does hide fingerprints. Green.","['Screen or Display', 'Design', 'Build quality', 'Phone performance', 'Battery or Charging', 'Price', 'Camera', 'Unknown']","[0.37520986795425415, 0.27912119030952454, 0.11432395130395889, 0.08074535429477692, 0.03957479074597359, 0.03799339756369591, 0.03758462518453598, 0.03544675186276436]"
"It looks a little bit cleaner. But really, the feature is the gigantic camera bump.","['Design', 'Camera', 'Phone performance', 'Build quality', 'Screen or Display', 'Unknown', 'Price', 'Battery or Charging']","[0.28757068514823914, 0.2619665861129761, 0.11933237314224243, 0.11540338397026062, 0.11016818135976791, 0.05558319389820099, 0.044124703854322433, 0.005850952584296465]"
"And yeah, it's pretty crazy looking, but, but, it also happens to be exactly where my index finger rests on the back of the phone. So, it's like a nice little shelf that feels really natural when using the phone while closed.","['Design', 'Screen or Display', 'Build quality', 'Phone performance', 'Unknown', 'Battery or Charging', 'Price', 'Camera']","[0.465954065322876, 0.18276886641979218, 0.12465529143810272, 0.08135358989238739, 0.06450206786394119, 0.0339040532708168, 0.029838968068361282, 0.017023149877786636]"
"So I kind of really like it for that. Also, the LED flash.","['Camera', 'Screen or Display', 'Phone performance', 'Design', 'Build quality', 'Unknown', 'Battery or Charging', 'Price']","[0.4387761354446411, 0.3658478260040283, 0.06939779967069626, 0.06501010805368423, 0.02023138478398323, 0.019884131848812103, 0.012070439755916595, 0.008782233111560345]"
"I guess it couldn't fit, so they shoved it up in the corner, for some reason. But, then you open this thing up, and it.","['Screen or Display', 'Design', 'Build quality', 'Phone performance', 'Unknown', 'Price', 'Camera', 'Battery or Charging']","[0.36006858944892883, 0.17772988975048065, 0.12538661062717438, 0.11035416275262833, 0.10280589759349823, 0.05552065744996071, 0.03568736091256142, 0.032446786761283875]"
"But,... Just, it becomes so obvious why they waited so long to do their first foldable. It looks nothing like some of the other first gen folding screens from years ago.","['Screen or Display', 'Design', 'Build quality', 'Phone performance', 'Unknown', 'Price', 'Battery or Charging', 'Camera']","[0.5782224535942078, 0.2909771800041199, 0.04810319468379021, 0.03526095673441887, 0.02571498602628708, 0.013594911433756351, 0.004739428870379925, 0.0033869335893541574]"
"It's got this huge 7.8-inch corner to corner, LTPO 3.0 display, that again, goes up to 2800 nits, and down to one hertz. Even bezels all the way around, got the hole punch in the top corner.","['Screen or Display', 'Design', 'Build quality', 'Phone performance', 'Unknown', 'Price', 'Battery or Charging', 'Camera']","[0.7613393068313599, 0.08793450146913528, 0.06262705475091934, 0.04321565851569176, 0.023211805149912834, 0.01365779247134924, 0.005021699238568544, 0.0029921941459178925]"
"And honestly, one of the least visible creases you will see in a folding phone in 2023. And I think it's actually debatable if we can.","['Design', 'Build quality', 'Unknown', 'Screen or Display', 'Phone performance', 'Price', 'Camera', 'Battery or Charging']","[0.36002781987190247, 0.34279099106788635, 0.08970087766647339, 0.08889799565076828, 0.07260012626647949, 0.017719093710184097, 0.017671260982751846, 0.010591840371489525]"
"Technically call this their first foldable phone, because while OnePlus hasn't made a foldable yet, their sister company, OpPO, clearly has. So I wouldn't be surprised if this took a lot of tech from them.","['Screen or Display', 'Unknown', 'Design', 'Phone performance', 'Price', 'Build quality', 'Battery or Charging', 'Camera']","[0.45436105132102966, 0.26357439160346985, 0.18499062955379486, 0.03656478598713875, 0.022571342065930367, 0.021016471087932587, 0.00997929461300373, 0.0069420114159584045]"
"Actually, there is another just released OpPO phone called the OpPO Find N3, and it's the same as this, but the point still stands. And with this screen on, you literally don't see the crease at all, and screen off, you still kind of have to look for it.","['Screen or Display', 'Design', 'Phone performance', 'Build quality', 'Unknown', 'Camera', 'Price', 'Battery or Charging']","[0.8197641372680664, 0.0643133893609047, 0.046887680888175964, 0.04528484866023064, 0.011625452898442745, 0.005789543967694044, 0.0038455682806670666, 0.0024894073139876127]"
"And then, yeah, you hit the crease at all, you hit the... Angle where the light reflects off of the middle of the phone, and then you can see it.","['Screen or Display', 'Design', 'Camera', 'Build quality', 'Phone performance', 'Unknown', 'Price', 'Battery or Charging']","[0.3896036148071289, 0.20322494208812714, 0.14020174741744995, 0.12158319354057312, 0.08158816397190094, 0.03989153355360031, 0.01334338542073965, 0.010563435964286327]"
But this is one of those phones that looks really good from almost every angle you would actually use it. And then it also has one of those hinges that stays at whatever angle that you hold it at.,"['Design', 'Build quality', 'Phone performance', 'Screen or Display', 'Unknown', 'Camera', 'Price', 'Battery or Charging']","[0.5528823733329773, 0.3139645457267761, 0.06358885765075684, 0.05033088102936745, 0.008521626703441143, 0.005677236709743738, 0.0032071243040263653, 0.001827297150157392]"
"So if you want a sort of a 90 degree angle, or a little bit more open or closed, you can do that. And then it has a nice satisfying spring loaded clap shut.","['Design', 'Screen or Display', 'Phone performance', 'Build quality', 'Unknown', 'Camera', 'Price', 'Battery or Charging']","[0.33237770199775696, 0.24906381964683533, 0.19114620983600616, 0.07009592652320862, 0.059573348611593246, 0.05677209049463272, 0.02803158015012741, 0.012939384207129478]"
"It's also, One I've ever seen, but pretty good. It's actually, if you put it on a scale, it's basically the exact same weight as an iPhone 14 Pro when they're doing stainless steel.","['Build quality', 'Screen or Display', 'Phone performance', 'Unknown', 'Design', 'Camera', 'Price', 'Battery or Charging']","[0.4448769986629486, 0.13992466032505035, 0.12211508303880692, 0.09157153964042664, 0.08818070590496063, 0.04260749742388725, 0.039483655244112015, 0.031239885836839676]"
"So, just a regular phone weight. So, it's an impressive piece of hardware.","['Build quality', 'Phone performance', 'Design', 'Unknown', 'Price', 'Battery or Charging', 'Screen or Display', 'Camera']","[0.9336419701576233, 0.025220170617103577, 0.01508861780166626, 0.008489399217069149, 0.005932135507464409, 0.00524135259911418, 0.004025083035230637, 0.0023612703662365675]"
"But then the software for this one is OnePlus. So it's OxygenOS 13.2, and it's got all kinds of little tweaks and little features that power users are gonna love.","['Screen or Display', 'Phone performance', 'Price', 'Unknown', 'Design', 'Camera', 'Battery or Charging', 'Build quality']","[0.5887884497642517, 0.1632576733827591, 0.0731440857052803, 0.06626829504966736, 0.06126192957162857, 0.019268866628408432, 0.016108866780996323, 0.01190180703997612]"
"Because let's face it, this is a phone for. Power users.","['Screen or Display', 'Phone performance', 'Design', 'Price', 'Battery or Charging', 'Build quality', 'Camera', 'Unknown']","[0.26667994260787964, 0.25585421919822693, 0.15203945338726044, 0.09363315254449844, 0.07813410460948944, 0.07168613374233246, 0.04104626178741455, 0.04092669114470482]"
"People who are gonna love the continuity features between the open screen and the closed screen. So once you're done using a big app, you just close it like this, and then swipe up to pick up where you left off on the outside screen, if you want to.","['Screen or Display', 'Design', 'Phone performance', 'Unknown', 'Camera', 'Build quality', 'Price', 'Battery or Charging']","[0.7957205772399902, 0.1312653124332428, 0.03771691396832466, 0.009113304316997528, 0.008651218377053738, 0.008260163478553295, 0.007042122073471546, 0.002230423502624035]"
"Just like the Pixel Fold, it's gonna mirror your home screen set up automatically between the cover screen and the inside screen. So if you change something, like move a folder or a widget or an app on one, and then Other, it will have also moved from there too.","['Screen or Display', 'Design', 'Phone performance', 'Price', 'Unknown', 'Build quality', 'Camera', 'Battery or Charging']","[0.888881266117096, 0.04637988284230232, 0.02843228168785572, 0.011582472361624241, 0.01042095199227333, 0.008816490881145, 0.0037455856800079346, 0.0017410886939615011]"
"Keeps them a little bit more organized. I kind of wish I had the option to change that, since this is Android, and I am a power user.","['Screen or Display', 'Phone performance', 'Design', 'Build quality', 'Unknown', 'Camera', 'Price', 'Battery or Charging']","[0.6114306449890137, 0.15324804186820984, 0.1473819613456726, 0.027894141152501106, 0.02295813336968422, 0.017313843593001366, 0.013947813771665096, 0.005825404077768326]"
"But nevertheless, that's the way it is. But then there's also a ton of PHONE_PERFORMANCE features on the inside screen, for having multiple apps open at once.","['Screen or Display', 'Phone performance', 'Design', 'Unknown', 'Price', 'Build quality', 'Camera', 'Battery or Charging']","[0.6269434690475464, 0.31980592012405396, 0.02804231271147728, 0.008450699970126152, 0.0076580229215323925, 0.006646302063018084, 0.001268566818907857, 0.0011847522109746933]"
"So you can have, obviously, one app open full screen, and that looks good for a surprising number of apps. It'll stretch them if they're not natively built.","['Screen or Display', 'Build quality', 'Phone performance', 'Design', 'Unknown', 'Price', 'Camera', 'Battery or Charging']","[0.7794532179832458, 0.10411285609006882, 0.05196694657206535, 0.03412867709994316, 0.01347137987613678, 0.00884663313627243, 0.005631960928440094, 0.0023883755784481764]"
"It'll stretch them if they're not, a surprising number of apps. For this.","['Screen or Display', 'Phone performance', 'Unknown', 'Price', 'Camera', 'Design', 'Build quality', 'Battery or Charging']","[0.32432541251182556, 0.3141389787197113, 0.1089589074254036, 0.08109909296035767, 0.05654790997505188, 0.04909653589129448, 0.04289171099662781, 0.022941457107663155]"
"But then you can have two apps side by side, and then you can pick a third app to get in the mix. Then they're all just sort of next to each other in this triple panel view, and you can move things between them really quickly.","['Screen or Display', 'Phone performance', 'Design', 'Unknown', 'Camera', 'Price', 'Build quality', 'Battery or Charging']","[0.8745636343955994, 0.0412571020424366, 0.037708181887865067, 0.014319023117423058, 0.01316195446997881, 0.012288503348827362, 0.004266730975359678, 0.0024348245933651924]"
"Or if you pinch out with four fingers, you can see all of the apps at once. So between that and the dock, with all of your apps and recent files, it's just a very well-considered hub for sitting down and just getting stuff done.","['Screen or Display', 'Design', 'Phone performance', 'Unknown', 'Price', 'Build quality', 'Camera', 'Battery or Charging']","[0.8176499605178833, 0.07386574149131775, 0.05196468159556389, 0.023170409724116325, 0.01338025089353323, 0.008747321553528309, 0.008474007248878479, 0.002747602527961135]"
"Like I feel like when I sit down and just getting stuff done. Open this phone, I'm about to be really productive and get a lot done.","['Screen or Display', 'Phone performance', 'Unknown', 'Design', 'Build quality', 'Price', 'Battery or Charging', 'Camera']","[0.6562724709510803, 0.20490022003650665, 0.045761384069919586, 0.03811001032590866, 0.018427856266498566, 0.018300224095582962, 0.010355804115533829, 0.007872062735259533]"
"This phone, the OnePlus Open, honestly, as a phone, it nails all five of my pillars of a great smartphone. Great screen, great battery, great build, great performance, great camera, and I'm not being generous with that stuff.","['Camera', 'Build quality', 'Screen or Display', 'Phone performance', 'Battery or Charging', 'Design', 'Unknown', 'Price']","[0.43481311202049255, 0.23535478115081787, 0.2005847692489624, 0.09073799103498459, 0.0326271653175354, 0.002163825323805213, 0.002129297237843275, 0.0015890977811068296]"
"It like, actually nails all of that stuff. Like you already heard about the great screen, and the fact that they match each other so well inside and outside, is already pretty great.","['Screen or Display', 'Design', 'Phone performance', 'Build quality', 'Unknown', 'Price', 'Camera', 'Battery or Charging']","[0.8097026348114014, 0.09967076033353806, 0.0579901859164238, 0.012350312434136868, 0.00854448601603508, 0.007155633065849543, 0.0030107353813946247, 0.0015752384206280112]"
There's also great performance. Super high-end specs.,"['Phone performance', 'Screen or Display', 'Unknown', 'Price', 'Camera', 'Build quality', 'Battery or Charging', 'Design']","[0.7470033168792725, 0.1442316472530365, 0.032940901815891266, 0.024653542786836624, 0.01547323726117611, 0.014345185831189156, 0.013077393174171448, 0.008274788968265057]"
"Snapdragon 8 gen 2, 16 gigs of fast RAM, 512 gigs of UFS 4.0 storage. I mean, the pair of 120 hertz LTPO displays have a 240 hertz touch sample rate.","['Screen or Display', 'Phone performance', 'Build quality', 'Design', 'Unknown', 'Price', 'Camera', 'Battery or Charging']","[0.8264248371124268, 0.08564896136522293, 0.030047599226236343, 0.02212626487016678, 0.014613849110901356, 0.011682828888297081, 0.005309243220835924, 0.004146421328186989]"
"It's super responsive, and I mean, the whole thing feels very future-proof. And then you also heard about the build quality, which I'll revisit that in a second.","['Build quality', 'Phone performance', 'Screen or Display', 'Design', 'Unknown', 'Price', 'Camera', 'Battery or Charging']","[0.5198135375976562, 0.3722756505012512, 0.04836947098374367, 0.026601267978549004, 0.021337077021598816, 0.005020668264478445, 0.0040631224401295185, 0.002519171452149749]"
"But then battery life has also been excellent, with this 4800 MilliAmp-hour battery, and 67 watt fast charging, though. It just skips wireless charging, for some reason, which is like the most OnePlus thing ever.","['Battery or Charging', 'Phone performance', 'Unknown', 'Screen or Display', 'Design', 'Price', 'Build quality', 'Camera']","[0.8829689621925354, 0.08896778523921967, 0.009114827029407024, 0.007168082054704428, 0.004089385271072388, 0.0040483917109668255, 0.0029780520126223564, 0.0006645763060078025]"
"I think it adds like, no cost and no weight and no thickness, but yet they leave it out when all the other competitors have it anyway? Alright, fine.","['Build quality', 'Design', 'Screen or Display', 'Phone performance', 'Price', 'Unknown', 'Battery or Charging', 'Camera']","[0.1956363320350647, 0.19184640049934387, 0.15376508235931396, 0.1506824493408203, 0.10552769154310226, 0.10244240611791611, 0.05464548617601395, 0.045454155653715134]"
"But then this huge camera module on the back kind of implies high end cameras, but you can never really be sure until you test them. And sure enough, this (indistinct) camera setup is pretty decent.","['Camera', 'Unknown', 'Design', 'Phone performance', 'Build quality', 'Price', 'Screen or Display', 'Battery or Charging']","[0.8754982352256775, 0.03970632702112198, 0.028376683592796326, 0.0237884484231472, 0.017053768038749695, 0.012535305693745613, 0.0018629352562129498, 0.0011783173540607095]"
"It's got this new stacked sensor for the Primary sensor, a 3x telephoto, and an ultra wide. I found it's pretty good most of the time, although it's not very good at freezing motion.","['Camera', 'Phone performance', 'Unknown', 'Design', 'Build quality', 'Price', 'Screen or Display', 'Battery or Charging']","[0.8560798168182373, 0.09792068600654602, 0.017116889357566833, 0.00864106323570013, 0.008332791738212109, 0.008040381595492363, 0.002711582463234663, 0.0011567114852368832]"
"Which is fine if you take photos of still subjects, but the second it's people or animals, and those things start to move. Then it can be kind of hard getting a shutter speed fast enough to freeze that stuff.","['Camera', 'Phone performance', 'Screen or Display', 'Unknown', 'Design', 'Build quality', 'Price', 'Battery or Charging']","[0.4280889630317688, 0.210146963596344, 0.14643611013889313, 0.05660054832696915, 0.054018471390008926, 0.04994986578822136, 0.03700009733438492, 0.017758939415216446]"
"You basically have to switch to action mode, which there's a button for. And that works by cranking the shutter speed way up, as expected.","['Camera', 'Screen or Display', 'Phone performance', 'Design', 'Unknown', 'Build quality', 'Price', 'Battery or Charging']","[0.6117352247238159, 0.21337930858135223, 0.10098229348659515, 0.030970502644777298, 0.01789579540491104, 0.011071102693676949, 0.010098195634782314, 0.003867562161758542]"
"And that works by cranking the shutter speed, a 3x telephoto, and an ultra wide. But then ISO starts to get a little high, high enough that photos are now a little noisier, a little worse looking, so it's just, that's unfortunate.","['Camera', 'Phone performance', 'Unknown', 'Screen or Display', 'Price', 'Design', 'Build quality', 'Battery or Charging']","[0.7832203507423401, 0.13492225110530853, 0.02196013554930687, 0.018417729064822197, 0.01626281812787056, 0.013326478190720081, 0.009024446830153465, 0.002865831833332777]"
"And by the way, this isn't one of the five pillars, but I also found that the microphone on this phone is actually quite good. They're usually not this good.","['Phone performance', 'Unknown', 'Build quality', 'Price', 'Design', 'Screen or Display', 'Camera', 'Battery or Charging']","[0.6310393214225769, 0.14737991988658905, 0.09362474083900452, 0.05527832731604576, 0.04205583035945892, 0.013411671854555607, 0.010397798381745815, 0.006812415551394224]"
I was pleasantly surprised. But it all comes together in a really nice phone that I think a lot of people including myself are gonna really like using.,"['Phone performance', 'Design', 'Screen or Display', 'Build quality', 'Unknown', 'Price', 'Camera', 'Battery or Charging']","[0.2613464891910553, 0.23157382011413574, 0.2193227857351303, 0.12344037741422653, 0.10047070682048798, 0.024987565353512764, 0.02372601628303528, 0.01513228751718998]"
"So, why do I? Think people aren't buying folding phones that much, if they're this good?","['Phone performance', 'Design', 'Build quality', 'Screen or Display', 'Unknown', 'Price', 'Battery or Charging', 'Camera']","[0.2667754888534546, 0.17838487029075623, 0.14296890795230865, 0.13057991862297058, 0.12695755064487457, 0.1084240972995758, 0.024461831897497177, 0.021447347477078438]"
"It turns out, a phone can hit all five pillars of a great smartphone, and not be a great buy for everyone, necessarily. And so it really comes down to three things, I think.","['Phone performance', 'Screen or Display', 'Unknown', 'Design', 'Price', 'Build quality', 'Camera', 'Battery or Charging']","[0.41194435954093933, 0.22153504192829132, 0.0962592288851738, 0.09071854501962662, 0.08480185270309448, 0.042432431131601334, 0.027501247823238373, 0.024807287380099297]"
Number one is still price. Number two is the durability question.,"['Build quality', 'Price', 'Phone performance', 'Unknown', 'Screen or Display', 'Design', 'Battery or Charging', 'Camera']","[0.6261598467826843, 0.15028496086597443, 0.1378284990787506, 0.06524432450532913, 0.007808179594576359, 0.005201251711696386, 0.004963269457221031, 0.002509612124413252]"
"And then number three is just the power user problem. So on price, this phone is $1700 US.","['Price', 'Phone performance', 'Screen or Display', 'Unknown', 'Battery or Charging', 'Design', 'Build quality', 'Camera']","[0.9518738985061646, 0.02563359960913658, 0.009317774325609207, 0.006199539639055729, 0.002097630873322487, 0.001944313058629632, 0.0016668356256559491, 0.0012664274545386434]"
"That is a lot of money to spend on a phone, no matter how you chop it up into monthly. Segments or staggered payments.","['Price', 'Phone performance', 'Unknown', 'Screen or Display', 'Design', 'Build quality', 'Camera', 'Battery or Charging']","[0.7098795771598816, 0.10706686973571777, 0.058596085757017136, 0.05320148169994354, 0.0292609091848135, 0.025802452117204666, 0.009719732217490673, 0.006472841836512089]"
"It's just a lot, right? It's literally twice as much as an iPhone 15.","['Screen or Display', 'Price', 'Phone performance', 'Unknown', 'Design', 'Battery or Charging', 'Build quality', 'Camera']","[0.3701542019844055, 0.16248589754104614, 0.11110562831163406, 0.09751921147108078, 0.08274488896131516, 0.0620560497045517, 0.05979560315608978, 0.05413854867219925]"
"But guess what? That's literally right in line with its folding competitors, like the other two folding phones available in the US, Pixel Fold, $1800.","['Price', 'Design', 'Screen or Display', 'Phone performance', 'Unknown', 'Build quality', 'Battery or Charging', 'Camera']","[0.4616258442401886, 0.22785454988479614, 0.1036209985613823, 0.09084441512823105, 0.044526517391204834, 0.03822284936904907, 0.02167118526995182, 0.011633705347776413]"
Samsung Z Fold 5. $1800.,"['Price', 'Screen or Display', 'Phone performance', 'Design', 'Battery or Charging', 'Build quality', 'Unknown', 'Camera']","[0.5937445759773254, 0.18726836144924164, 0.0643569603562355, 0.04459753260016441, 0.031064067035913467, 0.031040210276842117, 0.02869976870715618, 0.01922856830060482]"
"So this one's actually kind of a bargain. That's the most obvious thing holding these back, 'cause they're still so expensive.","['Price', 'Screen or Display', 'Unknown', 'Design', 'Phone performance', 'Camera', 'Battery or Charging', 'Build quality']","[0.8585916757583618, 0.04594067484140396, 0.025324221700429916, 0.024528002366423607, 0.02287016622722149, 0.009470127522945404, 0.00783115066587925, 0.005443993955850601]"
"But then number two, durability is also questionable at best. Now, of course.","['Build quality', 'Phone performance', 'Unknown', 'Screen or Display', 'Design', 'Battery or Charging', 'Price', 'Camera']","[0.5768535733222961, 0.15849371254444122, 0.08268009126186371, 0.07504159212112427, 0.044343605637550354, 0.03134734556078911, 0.016901658847928047, 0.014338321052491665]"
"They do all the testing that they can, and guess what? They've got IPX4 water resistance, which is nice.","['Build quality', 'Phone performance', 'Screen or Display', 'Unknown', 'Design', 'Camera', 'Price', 'Battery or Charging']","[0.42774492502212524, 0.14440199732780457, 0.13890667259693146, 0.09315714240074158, 0.0818140059709549, 0.0402650311589241, 0.038266558200120926, 0.03544370085000992]"
"And they have a durability rating for a million folds of the hinge, and that's great. But then, what about these dead pixels that have started appearing at the bottom middle of my screen, right around the hinge?","['Screen or Display', 'Build quality', 'Design', 'Phone performance', 'Unknown', 'Camera', 'Price', 'Battery or Charging']","[0.5157886743545532, 0.29246649146080017, 0.086573027074337, 0.07059329003095627, 0.014519941993057728, 0.01230169739574194, 0.005277186632156372, 0.0024797478690743446]"
"I had this one for three weeks, and babied it, and this is already starting to show up on mine. It doesn't mean it's gonna be bad for everyone, but that's not great, and I.","['Phone performance', 'Screen or Display', 'Unknown', 'Build quality', 'Design', 'Camera', 'Battery or Charging', 'Price']","[0.2926398813724518, 0.2313811331987381, 0.13210389018058777, 0.12662413716316223, 0.08150578290224075, 0.055665187537670135, 0.04138459265232086, 0.038695354014635086]"
"Probably it's not gonna happen on non-folding phones. But the third and final reason folding phones, as great as they've been getting, aren't necessarily translating to mainstream success, is that they're power user phones.","['Phone performance', 'Design', 'Screen or Display', 'Unknown', 'Price', 'Build quality', 'Battery or Charging', 'Camera']","[0.33854907751083374, 0.22007101774215698, 0.20236869156360626, 0.09492266923189163, 0.055075231939554214, 0.03817028924822807, 0.033928852528333664, 0.016914183273911476]"
"They're, folding and unfolding is a power user feature. And power user features, as much as we love 'em, don't sell a ton of phones.","['Design', 'Price', 'Screen or Display', 'Phone performance', 'Unknown', 'Build quality', 'Battery or Charging', 'Camera']","[0.376010924577713, 0.20786209404468536, 0.1402677297592163, 0.101424440741539, 0.09657205641269684, 0.06223965063691139, 0.009167247451841831, 0.006455847527831793]"
"We figured this out many times when LG spent years and years making some of the most manually adjustable cameras in the Smartphone world, and now they don't make smartphones anymore. And we still have Sony, who can't stop making professional cameras in a smartphone body, but their sales are putting them in danger of the same thing.","['Camera', 'Phone performance', 'Build quality', 'Price', 'Design', 'Unknown', 'Screen or Display', 'Battery or Charging']","[0.8296693563461304, 0.049776799976825714, 0.04097527638077736, 0.027789169922471046, 0.018159933388233185, 0.016443148255348206, 0.014793862588703632, 0.002392436843365431]"
"And Asus ZenFones are absolutely incredible right now, for enthusiasts like myself, but they've already thrown a head fake. Clearly they're not doing super well either.","['Phone performance', 'Screen or Display', 'Design', 'Unknown', 'Build quality', 'Price', 'Battery or Charging', 'Camera']","[0.38225215673446655, 0.1748323291540146, 0.13176493346691132, 0.11732139438390732, 0.09811209887266159, 0.044166065752506256, 0.025971481576561928, 0.025579597800970078]"
"I'd honestly be willing to bet, without even being able to look into anyone's books, that the This thing's called the HONOR Magic V2. Bro, look at this thing!","['Screen or Display', 'Design', 'Phone performance', 'Unknown', 'Price', 'Build quality', 'Camera', 'Battery or Charging']","[0.4204956293106079, 0.17817343771457672, 0.1154397502541542, 0.0833054855465889, 0.055345676839351654, 0.05467262491583824, 0.05041865259408951, 0.04214876890182495]"
"This, it's super thin, it has all the right things in all the right places. It's got a 3D printed titanium hinge cover, barely showing any crease when it's open.","['Build quality', 'Design', 'Screen or Display', 'Phone performance', 'Unknown', 'Battery or Charging', 'Price', 'Camera']","[0.4401893615722656, 0.32199445366859436, 0.09518792480230331, 0.05177217349410057, 0.03679364547133446, 0.021488025784492493, 0.01895913854241371, 0.013615180738270283]"
"Thin bezels, nice screens all the way around. Somehow it.","['Screen or Display', 'Design', 'Unknown', 'Build quality', 'Phone performance', 'Price', 'Battery or Charging', 'Camera']","[0.6810082793235779, 0.1535690724849701, 0.05831388011574745, 0.0429815873503685, 0.03940894827246666, 0.012545419856905937, 0.007593924179673195, 0.004578885622322559]"
